"","SRR1275356","SRR1274090","SRR1275251","SRR1275287","SRR1275364","SRR1275269","SRR1275263","SRR1275242","SRR1275338","SRR1274117","SRR1274089","SRR1275248","SRR1275345","SRR1274125","SRR1275270","SRR1275300","SRR1275294","SRR1274122","SRR1275299","SRR1275277","SRR1275370","SRR1275293","SRR1274128","SRR1275348","SRR1275245","SRR1274084","SRR1275335","SRR1275342","SRR1275363","SRR1275280","SRR1275264","SRR1275369","SRR1274131","SRR1275351","SRR1275256","SRR1275252","SRR1275355","SRR1275258","SRR1275260","SRR1275367","SRR1275284","SRR1275346","SRR1274114","SRR1275241","SRR1275279","SRR1275297","SRR1275273","SRR1274126","SRR1275290","SRR1275274","SRR1274121","SRR1275341","SRR1275336","SRR1274119","SRR1274087","SRR1274113","SRR1275246","SRR1274132","SRR1275267","SRR1275289","SRR1275283","SRR1275360","SRR1275255","SRR1275358","SRR1275352","SRR1274130","SRR1275265","SRR1275368","SRR1275281","SRR1275362","SRR1275257","SRR1275350","SRR1274129","SRR1275292","SRR1275371","SRR1275298","SRR1275276","SRR1274123","SRR1275343","SRR1275334","SRR1274085","SRR1274111","SRR1275349","SRR1275244","SRR1275249","SRR1275344","SRR1274088","SRR1274116","SRR1275243","SRR1275339","SRR1275301","SRR1275295","SRR1275271","SRR1274124","SRR1275250","SRR1275357","SRR1275262","SRR1275365","SRR1275286","SRR1275268","SRR1275361","SRR1275282","SRR1275266","SRR1275288","SRR1274133","SRR1275353","SRR1275254","SRR1275359","SRR1274120","SRR1275275","SRR1275291","SRR1275247","SRR1274086","SRR1274112","SRR1274118","SRR1275337","SRR1275340","SRR1274115","SRR1275347","SRR1274127","SRR1275272","SRR1275278","SRR1275302","SRR1275296","SRR1275354","SRR1275259","SRR1275253","SRR1275285","SRR1275366","SRR1275261"
"CBX1",435,2,702,315,761,225,15,311,0,277,400,2,5,576,4,6,0,7,260,222,0,7,5,172,236,5,0,185,37,3,0,0,521,3,99,11,5,11,0,5,6,22,3,5289,91,5,515,6,0,14,510,0,725,1049,324,518,19,4,948,3,177,0,2367,0,2,4,2,0,81,1202,348,178,290,9,0,0,4,1397,4,3,324,700,4,0,0,289,5,7,10,0,1,49,761,15,0,22,0,15,0,47,0,2,0,3,520,0,28,0,10,187,331,129,3,4,1,36,0,328,1,654,18,3,2,0,215,0,797,43,136,11
"CBX2",0,0,0,25,0,0,0,0,2,75,0,0,0,141,0,0,0,0,0,0,0,0,2,0,0,0,0,0,71,0,0,0,1,0,0,0,0,0,0,331,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,0,0,1,0,0,0,0,1,0,0,39,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,19,0,93,0,0,0,0,0,0,0,0,9384,0
"CBX3",2377,13,15,928,382,729,1,78,125,571,877,1,33,1211,30,23,1,13,1152,2,0,55,1,67,20,3,0,61,3,8,0,6,1490,42,1,0,0,0,2,0,2,17,24,2121,233,18,9,27,36,0,641,3,50,1806,1843,1315,0,10,1031,1198,106,2,32,37,397,32,2,247,35,39,3,1683,2092,2,0,1,12,1277,3,6,134,81,2,0,0,1210,28,5,2,6,2076,228,60,21,0,98,2,8,0,39,0,1,0,19,126,13,0,0,20,558,135,18,2,1,5,0,123,254,0,280,2,0,104,5,0,55,0,164,41,23
"CBX5",17,81,34973,2180,439,4482,21964,44,11069,1760,4324,137,47,2298,202,197,21,14,7427,2365,7135,899,30,1484,0,48,2,1143,210,77,1011,34,853,207,30,1690,1,1,409,128,99,15211,39,988,3094,6246,5323,51,104,146,669,162,21,3004,9989,2125,0,11,7818,3347,3771,5,617,5489,5056,36,37,0,3008,6845,18,7419,2578,85,216,203,47,2745,42,64,1849,4698,76,136,1253,1356,205,30,2903,508,5459,6638,9561,57,48,1,108,25,134,411,0,79,7,54,1749,154,56,133,57,2261,3420,3187,40,80,34,0,3850,1675,473,1808,222,49,294,202,6,5892,882,6244,3588,1879
"CBX6",2068,0,0,255,0,0,0,43,1553,23,0,1,4,254,0,42,9,18,1298,366,223,507,0,1,534,0,0,0,9,8,0,1,74,32,0,0,0,0,14,0,2,61,4,852,307,0,0,9,2,0,649,1,2,0,0,213,27,0,0,74,492,0,0,105,784,1,0,0,406,213,0,1671,13,7,5,0,0,0,0,0,169,0,0,1,0,124,0,0,25,76,228,366,163,0,0,101,0,0,3,0,0,8,0,4,34,13,0,1,0,69,327,45,2,0,2,0,16,0,4,0,6,9,19,5,0,248,0,177,0,0
"CBY1",0,0,376,0,0,32,0,0,0,153,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,11,0,0,42,0,0,20,12,0,0,0,1,0,12,0,506,0,0,1,0,0,0,0,0,67,0,457,0,0,0,0,5,166,0,1774,721,0,0,0,169,0,0,0,0,0,0,0,5,0,0,383,16,99,0,0,0,1,0,0,0,0,1324,140,0,0,0,0,0,0,0,0,3,6,0,0,13,19,0,52,0,153,0,0,0,1,4,0,0,0,0,0,0,0,81,2,273,0,0,0,0,0
"CC2D2A",0,0,0,0,0,4,1035,18,0,110,1,0,0,2,0,12,0,0,453,193,0,0,0,0,20,0,0,0,0,0,50,2,200,0,0,0,0,0,0,0,0,142,0,381,0,0,1,0,0,0,0,0,0,1266,307,1,1,5,0,2,22,0,0,0,960,0,0,159,0,0,0,0,0,0,0,0,0,153,0,0,1,13,0,0,282,0,4,59,0,0,0,0,261,1,19,0,0,0,0,0,0,0,0,0,1,24,0,0,21,11,0,0,0,1,2,0,0,2795,3,0,9,3,0,0,0,0,0,0,0,0
"CCAR1",0,0,0,613,122,249,201,0,0,121,112,45,0,401,5,8,1,50,506,372,0,2,3,84,1,8,0,848,4,5,12,5,92,5,0,0,0,0,0,128,10,0,0,8,316,0,3473,5,18,101,2215,0,1,431,620,67,1,2,639,784,542,103,0,0,0,7,9,87,373,289,1,155,444,7,0,0,9,197,28,0,532,1138,3,0,0,10,5,4,0,0,2,298,3,8,0,0,0,5,0,21,2,13,4,21,285,0,0,0,6,368,214,969,11,27,5,0,0,106,0,109,0,9,0,7,2,6,0,3,4506,0
"CCAR2",0,0,0,0,1,141,46,0,0,0,27,0,1,130,6,29,15,0,777,2,227,495,1,0,1,0,0,2573,0,0,7,0,3,0,194,0,26,0,0,0,0,0,0,0,0,60,129,2,10,4,0,0,0,23,0,0,0,0,0,343,16,1,3889,0,1,0,0,0,15,0,0,7,0,1,5,2,0,0,102,0,75,0,0,0,5,78,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,953,0,0,118,0,1
"CCBE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,329,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,55,420,2113,0,0,52,0,0,0,0,0,0,0,0,69,0,568,0,0,2,0,46,15,0,0,0,0,0,2180,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,934,0,214,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,4,0,44,0,0,0,0,180,0,6
"CCBL1",0,1,0,6,0,0,0,0,0,0,335,0,1,2,0,5,0,0,117,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,12,0,1,0,37,0,0,0,1138,0,0,0,0,0,0,1,0,2,31,4,0,0,0,0,785,13,0,234,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,294,13,0,0,0,0
"CCBL2",215,27,0,1640,0,0,0,0,0,424,1698,1,0,11,0,0,0,0,0,163,0,0,33,64,0,0,0,104,2,0,0,0,162,66,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,324,4233,1122,0,0,0,0,0,1,0,0,0,0,0,1,0,78,0,2468,10,0,0,0,0,0,8,0,4,49,2,0,0,0,76,0,9,0,0,0,1,0,0,11,0,0,0,0,0,0,0,31,183,0,0,0,8,0,60,12,0,0,9,0,0,1,0,1663,0,7,0,0,0,0,0,0,0,0
"CCDC101",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,285,0,0,0,0,0,3,0,0,3,4,0,2,1,0,0,0,4,0,0,0,2,0,0,0,214,96,854,0,0,26,8,126,0,0,1,0,0,0,686,0,59,0,0,0,69,0,0,0,0,75,0,14,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,38,0,0,0,0,309,2,0,0,0,0,0,13,0,0,0,0,3192,0,0,0,0,9,2,0,57,0,0,0,0,0
"CCDC109B",0,1,0,0,0,0,0,0,0,42,110,0,0,246,0,0,18,0,0,3,0,1183,0,0,0,2,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,1,3,12,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,498,0,0,0,0,0,0,0,203,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC112",1211,0,7,0,5,0,0,0,4,116,1,8,0,3,0,3,24,1,101,0,0,1247,1,1,0,3,0,0,0,5,0,0,0,10,0,0,0,0,1,5,1,0,2,1,150,1,14,0,0,3,60,0,1036,0,1,91,0,0,0,0,133,40,0,17,0,0,0,0,0,0,0,679,0,0,0,0,0,1,0,5,204,0,0,24,0,16,0,0,519,0,0,0,127,0,0,49,0,0,4,0,0,0,0,0,103,0,0,0,0,0,0,258,3,0,4,50,0,31,0,54,3,0,0,0,0,106,32,95,155,0
"CCDC113",0,0,0,2689,0,0,0,0,0,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,67,65,0,0,0,0,0,12,0,0,0,0,0,2702,1,0,80,0,0,0,0,0,0,0,1,0,0,498,0,1312,0,0,0,0,0,83,0,0,2215,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,75,5,0,0,0,0,0,16,0,0,0,6,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC115",0,0,0,0,0,0,1,0,0,1,0,14,0,0,0,0,0,1,0,117,0,0,12,16,2,1,0,0,0,1,0,0,0,8,234,0,0,0,0,0,6,0,3,0,18,0,0,0,0,0,55,0,0,0,0,86,0,0,0,0,96,0,4896,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,273,0,0,0,0,0,92,0,692,0,2,0,0,0,68,0,15,0,0
"CCDC117",0,3,0,0,0,0,89,0,0,0,195,24,2,285,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,5,0,246,1,0,0,0,0,0,0,0,0,0,0,4,0,18,6,0,1,0,0,0,2,1,23,0,4,0,0,21,0,0,442,9,0,0,0,0,1,0,75,9,0,0,0,0,24,0,0,17,0,0,0,1,49,0,0,5,0,0,78,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,20,0,475,1,0,0,0,1,7,0,346,0,0,0,1,1,0,0,3,0,0
"CCDC12",1,0,0,28,2,0,38,50,0,36,0,2,0,224,0,0,36,3,1,162,1,1181,1,886,533,2,0,822,0,0,0,0,219,1,25,0,0,0,0,2,1,1,0,779,2,0,25,3,0,0,313,0,0,0,528,0,46,4,0,0,30,11,669,3,1,0,16,0,37,1,0,5,0,0,0,0,0,717,31,0,0,89,52,0,0,1,6,0,1,0,4,412,55,14,0,0,0,0,4,0,0,0,1,0,139,0,0,0,0,12,15,2,1,4,0,0,0,12,0,105,1,3,0,8,2,0,0,107,25,1
"CCDC120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,42,0,0,0,0,0,0,0,0,117,0,1,0,0,0,0,0,0,0,0,0,0,0,88,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"CCDC121",0,1,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,1,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC122",24,1,0,4,9,7,4,0,0,68,20,0,0,1,0,0,0,1,3,8,0,9,1,2,0,0,0,5,0,0,0,0,44,0,1,0,1,0,0,0,1,3,0,1,2,3,183,1,1,4,1,0,9,51,6,1,1,1,11,15,5,3,0,0,5,0,0,2,0,1,0,4,5,0,0,0,0,3,0,5,42,17,0,1,22,2,1,6,1,0,5,3,5,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,2,3,6,7,0,0,0,1,3,408,0,83,0,0,0,0,29,0,3,5,2,1
"CCDC124",0,0,2,0,27,293,1,0,0,54,1,0,0,0,14,0,6,0,0,153,0,169,1,0,0,4,3,0,0,0,0,0,5,12,0,0,0,0,0,0,1,1,0,0,19,0,0,0,4,0,1,0,0,410,231,0,0,1,58,117,29,0,0,0,7,0,35,0,10,0,0,354,0,1,0,0,1,0,0,81,6,150,0,0,0,1,5,0,0,0,0,74,0,0,1,0,0,0,0,4,0,1,9,0,127,0,0,0,7,14,30,0,0,5,1,0,0,0,0,32,0,3,0,2,0,0,0,0,0,0
"CCDC126",0,22,0,0,0,0,0,0,0,0,1234,0,0,0,0,0,75,1,0,30,1,3890,0,0,0,0,0,0,0,0,0,0,433,0,0,0,68,0,0,0,11,0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,5,0,0,295,0,0,1,0,0,8,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,683,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,93,5,0,0,0,0,0,0,0,0,0,0,0,0,1962,0,0,0,0,0
"CCDC127",0,0,0,0,0,796,0,0,0,157,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,36,0,0,0,1,1,0,0,4,1,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC13",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,126,1,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC130",0,1,0,232,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,44,97,0,0,0,0,0,0,0,0,1,0,33,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,2,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,2,553,5,5,0,0,106,0,0,0,0,0,2,0,0,0,10,0,298,0,0,3,0,0,0,7,0,2,0,0,0,2,11,80,0,0,0,0,0,8,0,0,0,0,2,0,20,371,0,0,0,5387
"CCDC132",0,1,0,0,0,0,0,0,0,18,163,0,130,0,0,0,0,0,0,46,0,0,0,1,0,1,0,0,26,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,4,0,1,0,0,0,54,0,0,43,14,24,0,0,197,116,490,0,0,4,182,0,0,0,0,1250,0,0,3,0,0,0,0,4,0,0,8,0,0,0,0,3673,1,1,0,0,1755,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,77,0,1,0,1,66,0,1,2,0,0,0,0
"CCDC134",0,1,0,801,0,0,0,0,0,327,0,0,0,185,0,0,0,6,0,1,0,0,18,0,1,0,0,0,19,0,0,50,1,0,137,0,0,0,0,0,0,1,24,0,0,1,66,2,0,1,193,0,0,0,904,1411,0,0,1317,0,1,2,3245,288,0,0,105,0,0,748,1,0,0,21,0,0,0,0,0,0,856,2588,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,9,21,0,0,0,4,0,0,784,0,12,33,3,1,0,6,0,894,0,0,0,0,0,0,0,0,0,2
"CCDC136",383,0,0,0,0,0,69,0,0,1,5,0,0,1,0,0,67,0,0,440,2440,2461,0,61,0,5,0,0,0,1,2,0,584,0,0,0,0,0,0,0,0,259,0,0,39,1688,0,0,5,0,0,4,0,0,0,0,0,5,0,117,0,0,0,0,0,0,0,0,33,0,0,0,0,4,72,55,0,58,0,0,0,66,5,0,0,0,0,0,0,0,0,0,220,1,0,21,0,0,0,1,0,0,0,0,322,0,0,0,0,13,106,0,0,3,0,0,54,0,7,2,6,12,0,0,0,0,0,0,10,0
"CCDC137",1,0,0,243,1,0,0,28,25,66,0,0,0,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,307,0,0,0,2,0,0,10,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0
"CCDC138",0,0,0,306,6,0,2,0,0,37,0,1,0,57,0,3,0,0,61,4,7,0,14,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1441,0,49,0,0,0,2,9,0,0,5,0,1,0,349,20,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,103,0,0,0,0,0,0,56,0,0,0,12,0,0,1,0,0,35,883,7,0,0,0,0,0,311,0,1023,4,0,0,0,0,0,6,0,0,0
"CCDC14",1871,14,16,2395,5647,301,0,21,0,506,596,0,72,585,8,0,79,2,1,477,0,3137,4,2,0,4,0,3206,7,11,0,0,11,0,4,1,21,0,2,0,21,1,0,321,450,0,1524,12,1,34,63,13,0,252,640,93,0,0,0,90,1230,0,114,3653,248,23,0,0,3,348,6,2,1460,32,0,0,1,49,80,3,739,1893,0,3,912,3018,10,23,47,0,0,893,447,0,32,81,1,188,21,0,0,0,0,72,431,10,18,96,7,56,1560,0,7,41,6,0,468,1104,0,478,10,8,0,17,708,16,410,1005,2,15
"CCDC142",1,0,0,1,2,1609,3,0,0,0,2,1,0,14,59,0,5,0,18,86,11,167,1,5,2,0,0,187,0,0,1,0,5,1,0,0,0,1,1,0,1,1,0,0,5,0,8,0,0,0,2,0,1,0,0,2,0,0,7,1,40,1728,0,3,0,1,0,0,22,0,2,2,0,0,0,0,15,0,15,64,15,0,2,0,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,551,4,16,0,0,0,0,0,0,0,5,0,1,0,1,0,2,13,0,6,4
"CCDC144B",1,0,0,54,0,24,0,0,0,0,0,0,0,0,4,20,0,1,1114,8,0,0,0,0,3,1,56,0,0,1,0,0,0,0,265,0,0,0,0,0,0,0,1,0,70,0,1044,0,0,28,0,0,0,0,0,41,0,0,0,0,13,0,6856,0,0,0,4,0,70,0,0,0,0,0,0,0,13,0,0,1412,0,0,0,0,0,0,0,1,0,0,85,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,594,7,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
"CCDC144CP",0,0,0,465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,32,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,173,0,0
"CCDC144NL-AS1",0,0,0,0,0,0,0,0,0,395,3,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,40,0,0,108,38,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,4,4,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
"CCDC15",0,0,0,0,0,0,0,0,0,6,47,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,688,8,0,113,4,0,0,0,2331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,14,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
"CCDC150",0,4,0,1,0,0,0,0,0,0,552,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,1,0,8,0,0,2,348,0,0,62,0,360,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,170,0,1,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,2,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,4,0,0
"CCDC152",0,1,0,0,0,0,0,0,0,71,19,0,0,455,0,0,0,0,0,0,0,56,8,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,121,0,1005,5,0,35,16,0,0,1625,117,0,0,0,4,55,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,116,34,69,0,28,0,0,2,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,40,62,0,0,1,1,4,0,0,108,0,357,0,0,0,0,0,0,0,0,0,0
"CCDC157",0,6,0,0,0,229,0,0,0,8,398,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,727,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CCDC163P",0,2,0,0,0,614,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,159,0,0,101,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC167",0,6,0,50,0,255,993,0,1636,324,343,5,14,915,14,26,0,3,864,21,249,0,26,138,0,11,0,0,0,0,44,0,186,2,0,0,23,0,0,0,5,0,9,29,0,0,10,14,0,0,162,0,0,345,251,440,0,1,0,1,274,0,0,83,0,4,22,0,49,0,1,108,123,2,9,0,1,883,0,0,513,653,9,0,0,452,1,2,0,93,6,102,49,17,0,0,0,0,0,0,0,1,2,0,425,0,0,2,11,38,80,52,8,14,4,0,14,69,0,1515,1,0,1,1,656,0,0,0,0,0
"CCDC171",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,334,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,114,0,0,58,0,124,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1438,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,1,6,20,0,26,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC174",61,0,0,37,1076,0,0,0,186,0,6,0,62,8,0,8,1,12,144,4,0,99,0,1,0,2,0,0,2,5,0,5,45,0,0,0,0,0,1,53,0,174,0,0,479,927,0,0,0,0,498,0,0,0,2,0,0,0,69,1,1,0,0,0,0,0,0,131,25,29,1,0,1,1,0,29,2,7,0,0,2,1081,0,0,2564,1635,0,2,0,11,2089,0,85,0,140,2,0,47,1,4,0,0,0,2,142,0,36,0,0,96,22,11,0,25,0,0,0,88,5,28,1,0,119,0,0,42,555,26,1819,0
"CCDC175",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,669,0,0,0,0,0,0,0,0,25,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,669,0,0,0,0,0
"CCDC177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC18",0,15,0,0,0,0,0,0,0,69,1256,0,0,296,0,0,0,12,0,0,0,0,14,45,0,5,0,0,49,0,0,0,78,0,0,0,0,24,0,0,6,121,0,0,0,0,0,8,0,0,532,0,0,1,215,6,0,1,2,0,181,0,0,0,0,0,0,0,0,1771,774,0,4,2,0,0,5,1476,0,0,1202,11,0,0,0,0,7,22,0,0,0,0,513,26,0,0,0,0,1,0,0,0,0,0,94,0,0,0,0,142,57,0,21,0,1,0,0,931,1,547,15,0,0,0,0,0,0,35,0,0
